Granja,FechaFin,Gen,Talla,Biomasa,Num
Anglet_P,2024-10-31,24 1SG,d.300 - 400,1363.4905419763384,3629.0
Anglet_P,2024-10-31,24 1SG,d.300 - 400,136.29451861355065,367.0
Cervo Sole,2024-10-31,24 1SG,e.400 - 500,2999.6300695211444,6756.0
Hafnir_P,2024-10-31,24 3SG,b.100 - 200,999.8533335094356,5442.0
Tocha Sole,2024-10-31,24 1SG,e.400 - 500,3896.114758325633,8593.0
Cervo Sole,2024-10-31,24 1SG,d.300 - 400,999.9198231982966,2647.0
Couso i+d,2024-10-31,24 2SG,d.300 - 400,4.836140515264,16.0
Cervo Sole,2024-10-31,24 1SG,c.200 - 300,499.7365435943773,1672.0
Hafnir_P,2024-10-31,24 2SG,c.200 - 300,2650.233288560482,9317.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,185.7412392371372,369.0
Anglet_P,2024-10-31,24 2SG,c.200 - 300,499.782420278258,2223.0
Tocha Sole,2024-10-31,24 2SG,e.400 - 500,3492.1872880200176,8703.0
Couso i+d,2024-10-31,24 2SG,c.200 - 300,4.804550112736001,22.0
Tocha Sole,2024-10-31,24 2SG,e.400 - 500,271.6806663258117,649.0
Anglet_P,2024-10-31,24 2SG,c.200 - 300,0.2064264614741818,1.0
Hafnir_P,2024-10-31,24 2SG,c.200 - 300,1349.587474787378,4981.0
Cervo Sole,2024-10-31,24 2SG,c.200 - 300,0.2236372893160927,1.0
Hafnir_P,2024-10-31,24 3SG,b.100 - 200,0.1043924512086416,1.0
Tocha Sole,2024-10-31,24 3SG,c.200 - 300,0.2009535468494681,1.0
Couso i+d,2024-10-31,24 3SG,b.100 - 200,4.855695630896552,28.0
Couso i+d,2024-10-31,24 4SG,b.100 - 200,0.1395322465444285,1.0
Hafnir_P,2024-11-30,23 4SG,g.600 - 800,3046.078007960478,4838.0
Hafnir_P,2024-11-30,23 4SG,g.600 - 800,2438.718535078449,3352.0
Anglet_P,2024-11-30,23 5SG,f.500 - 600,4487.480652010503,8563.0
Anglet_P,2024-11-30,23 5SG,e.400 - 500,300.5124093169233,656.0
Anglet_P,2024-11-30,23 5SG,e.400 - 500,2455.382287049868,5040.0
Hafnir_P,2024-11-30,23 5SG,g.600 - 800,83.05128324344399,123.0
Hafnir_P,2024-11-30,23 5SG,h.800 - 10000,653.8272310650689,782.0
Hafnir_P,2024-11-30,23 5SG,g.600 - 800,625.3563887080754,943.0
Hafnir_P,2024-11-30,23 5SG,f.500 - 600,4269.465355356749,7151.0
Hafnir_P,2024-11-30,24 1SG,d.300 - 400,1499.759502763648,3817.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,3265.695836204151,5323.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,2979.5719094070646,4823.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,6084.748300175147,10058.0
Anglet_P,2024-11-30,23 6SG,f.500 - 600,3012.397294803037,5211.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,4986.11116934519,7565.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,1352.384114702719,2082.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,1331.0879745336215,2009.0
Hafnir_P,2024-11-30,23 6SG,g.600 - 800,4681.415907065134,7379.0
Hafnir_P,2024-11-30,23 6SG,g.600 - 800,2625.2528183358213,4286.0
Tocha Sole,2024-11-30,24 4SG,b.100 - 200,5.980918970535227,42.0
Anglet_P,2024-11-30,24 2SG,c.200 - 300,499.8938654755596,2229.0
Hafnir_P,2024-11-30,23 6SG,h.800 - 10000,345.3692679191507,396.0
Hafnir_P,2024-11-30,23 6SG,f.500 - 600,3730.4823622494378,6419.0
Tocha Sole,2024-11-30,23 6SG,h.800 - 10000,5410.343932857161,6536.0
Tocha Sole,2024-11-30,23 6SG,g.600 - 800,946.8360012614536,1249.0
Tocha Sole,2024-11-30,23 6SG,h.800 - 10000,2734.068948212162,3133.0
