FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025
Anglet_P,final,number,2024,24 1SG,59137.0,54775.0,51849.0,36875.0,27568.0,23859.0
Anglet_P,final,number,2024,24 2SG,141461.0,139226.0,128692.0,112574.0,98245.0,75628.0
Anglet_P,final,number,2024,24 3SG,70232.0,70232.0,70231.0,70231.0,70120.0,61723.0
Anglet_P,final,number,2024,24 4SG,153730.0,152961.0,152961.0,152961.0,150620.0,147873.0
Anglet_P,final,number,2024,24 5SG,71008.0,142609.0,142609.0,141899.0,141183.0,141183.0
Anglet_P,final,number,2024,24 6SG,0.0,0.0,0.0,71601.0,71601.0,71601.0
Anglet_P,final,number,2025,25 1SG,0.0,0.0,0.0,0.0,70700.0,141400.0
Anglet_P,final,number,TOTAL,TOTAL,653066.0,680149.0,612642.0,638351.0,660632.0,683538.0
Anglet_P,growth,%,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,growth,%,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,growth,%,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,growth,%,2023,23 5SG,5.968626475387203,3.334592736178977,0.0,0.0,0.0,0.0
Anglet_P,growth,%,2023,23 6SG,13.638017398668628,9.817817436547257,5.087376299353133,6.258675846686038,1.7039390712214768,1.841387406025952
Anglet_P,growth,%,2024,24 1SG,25.460982216327903,21.576284259664813,15.364987763485585,9.590662554899529,4.733413888420813,1.7462056559630699
Anglet_P,growth,%,2024,24 2SG,32.18501592489539,29.743451628377127,24.64632642443636,21.166845169191507,17.241290854051243,9.745428838479379
Anglet_P,growth,%,2024,24 3SG,44.2555232,38.03831979999999,32.267156140700905,30.375159699999987,27.19034096825092,18.86435920539857
Anglet_P,growth,%,2024,24 4SG,69.42205137969638,56.97066772851915,44.06887165844896,38.2596748613342,33.03001802048568,26.48227076772407
Anglet_P,growth,%,2024,24 5SG,0.0,206.33214946989642,87.62597703484373,71.32057096144555,55.244833371786974,39.56483314813214
Anglet_P,growth,%,2024,24 6SG,0.0,0.0,0.0,0.0,104.98474149999998,74.6271604
Anglet_P,growth,%,2025,25 1SG,0.0,0.0,0.0,0.0,0.0,194.12425100000004
Anglet_P,growth,%,TOTAL,TOTAL,21.086160530093267,21.282724967723027,18.663580984227806,20.78499005177741,19.130337375290058,16.51424147993313
Anglet_P,growth,biomass,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,growth,biomass,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,growth,biomass,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,growth,biomass,2023,23 5SG,1496.0221419972277,533.7282003903128,0.0,0.0,0.0,0.0
Anglet_P,growth,biomass,2023,23 6SG,8590.82037863948,6684.783186609564,3369.0973839277103,2915.4010750474627,698.5709627562792,467.83886309703485
Anglet_P,growth,biomass,2024,24 1SG,4925.058237652172,5128.40097905109,4209.59331421784,2959.956286750201,1245.98295671714,394.10901456282636
Anglet_P,growth,biomass,2024,24 2SG,9054.575261053658,11060.835865964233,11768.205009691692,11962.812024296696,10686.149934093119,6545.685273834968
Anglet_P,growth,biomass,2024,24 3SG,3316.29465106544,4111.8702929593455,4814.8020446882965,5994.988185247275,6996.474710985534,6173.917246363668
Anglet_P,growth,biomass,2024,24 4SG,4374.765888573136,6082.451015223562,7385.463345151977,9237.559438824752,11026.059018161026,11627.844803005226
Anglet_P,growth,biomass,2024,24 5SG,995.1061120000002,2053.223830395915,2671.1288952701093,4079.1506989282652,5413.225511243543,6018.537155446125
Anglet_P,growth,biomass,2024,24 6SG,0.0,0.0,0.0,1003.4164140000001,1053.4341284064699,1534.9691534699464
Anglet_P,growth,biomass,2025,25 1SG,0.0,0.0,0.0,0.0,990.7898000000001,1923.3632782343984
Anglet_P,growth,biomass,TOTAL,TOTAL,32752.642670981117,35655.29337059402,34218.289992947626,38153.28412309465,38110.68702236311,34686.264788014196
Anglet_P,harvests,avweight,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,avweight,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,avweight,2023,23 4SG,527.2009666080844,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,avweight,2023,23 5SG,507.8664045923802,504.21172312189464,507.986208596486,0.0,0.0,0.0
Anglet_P,harvests,avweight,2023,23 6SG,419.1757210273357,574.0270072906739,620.7546761395951,661.3041354874246,777.9319759161948,791.7055239894605
Anglet_P,harvests,avweight,2024,24 1SG,281.32575757575756,375.32158673420645,440.2404839658706,527.3321248150163,581.9658295393016,677.8583371043202
Anglet_P,harvests,avweight,2024,24 2SG,0.0,224.8151289297357,285.99219773562186,408.5980993253011,403.41943292174466,604.9755219293559
Anglet_P,harvests,avweight,2024,24 3SG,0.0,0.0,0.0,0.0,0.0,391.95321354661564
Anglet_P,harvests,avweight,2024,24 4SG,0.0,0.0,0.0,0.0,213.56612897620522,344.3053164760454
Anglet_P,harvests,avweight,2024,24 5SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,avweight,2024,24 6SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,avweight,2025,25 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,avweight,TOTAL,TOTAL,486.06062939586127,501.76580037676575,535.3438178447069,523.4523637454421,599.7001978507761,598.5192570025753
Anglet_P,harvests,biomass,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,biomass,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,biomass,2023,23 4SG,5999.547,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,biomass,2023,23 5SG,10554.987486643438,9296.151539198372,7243.375348377294,0.0,0.0,0.0
Anglet_P,harvests,biomass,2023,23 6SG,3494.248810483871,8548.410192572714,23011.99659917093,8499.742053419868,16289.117643709204,8077.771461264465
Anglet_P,harvests,biomass,2024,24 1SG,499.9158712121212,1499.785060589889,744.0064179023213,7499.717479119163,4999.668441572139,2017.306411222457
Anglet_P,harvests,biomass,2024,24 2SG,0.0,499.98884673973214,2999.7721620489374,6499.569965967565,5499.413709589223,13117.684241994224
Anglet_P,harvests,biomass,2024,24 3SG,0.0,0.0,0.0,0.0,0.0,3134.4498487322853
Anglet_P,harvests,biomass,2024,24 4SG,0.0,0.0,0.0,0.0,499.9583079332964,941.6750405619841
Anglet_P,harvests,biomass,2024,24 5SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,harvests,biomass,2024,24 6SG,0.0,0.0,0.0,0.0,0.0,0.0
