Granja,Edad,PesoMedio,Num,Gen,Tanque,Virtual,Fecha,Biomasa,YearClass,BiomasaBajas,NumBajas,Cull,NumBajas_cull,BiomasaBajas_cull,NumSinBajas,BiomasaSinBajas,FechaFin,DiasMes,PesoMedioSinBajas,Talla,BiomasaPescas,BiomasaSinPescas,NumPescas,NumSinPescas,PesoMedioSinPescas,Tasa,PesoMedioFinal,BiomasaFinal,NumFinal,EdadFinal,TallaFinal,Input
Cervo Sole,206,69.72010040283203,8230,24 4SG,AN21,False,2024-08-31,573.7964263153076,2024,0.0,0,False,0,0.0,8230,573.7964263153076,2024-09-30,30,69.72010040283203,a.0 - 100,0.0,573.7964263153076,0,8230,69.72010040283203,0.4813250679999999,103.278132470192,849.9790302296801,8230,236,b.100 - 200,False
Cervo Sole,458,822.9166870117188,3389,23 5SG,AG43,False,2024-08-31,2788.864652282715,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,h.800 - 10000,2788.864652282715,0.0,3389,0,0.0,0.215764584,0.0,0.0,0,488,h.800 - 10000,False
Cervo Sole,332,240.5263214111328,8049,24 1SG,AG01,False,2024-08-31,1935.996361038208,2024,0.0,0,False,0,0.0,5971,1436.182665145874,2024-09-30,30,240.52632141113284,c.200 - 300,499.813695892334,1436.182665145874,2078,5971,240.52632141113284,0.297961804,312.1939780482778,1864.110242926267,5971,362,d.300 - 400,False
Anglet_P,444,466.2745098039216,10249,23 6SG,F03,False,2024-08-31,4778.847450980392,2023,5.595294117647058,12,False,0,0.0,10237,4773.252156862744,2024-09-30,30,466.2745098039215,e.400 - 500,0.0,4778.847450980392,0,10249,466.2745098039216,0.157106124,539.5290907592156,5523.15930210209,10237,474,f.500 - 600,False
Anglet_P,444,445.55555555555554,10495,23 6SG,F05,False,2024-08-31,4676.105555555555,2023,7.574444444444444,17,False,0,0.0,10478,4668.531111111111,2024-09-30,30,445.5555555555555,e.400 - 500,0.0,4676.105555555555,0,10495,445.5555555555555,0.157106124,515.5550619155555,5401.98593875119,10478,474,f.500 - 600,False
Anglet_P,444,437.00000000000006,1369,23 6SG,RW2B,False,2024-08-31,598.2530000000002,2023,4.807000000000001,11,False,0,0.0,1358,593.4460000000001,2024-09-30,30,437.0000000000001,e.400 - 500,0.0,598.2530000000002,0,1369,437.0000000000001,0.157106124,505.6553761880001,686.6800008633041,1358,474,f.500 - 600,False
Anglet_P,444,476.1538461538461,5025,23 6SG,B04,False,2024-08-31,2392.673076923077,2023,5.713846153846155,12,False,0,0.0,5013,2386.959230769231,2024-09-30,30,476.1538461538462,e.400 - 500,0.0,2392.673076923077,0,5025,476.1538461538462,0.157106124,550.9605313507693,2761.9651436614063,5013,474,f.500 - 600,False
Anglet_P,444,452.5,4706,23 6SG,A01,False,2024-08-31,2129.465,2023,1.81,4,False,0,0.0,4702,2127.655,2024-09-30,30,452.5,e.400 - 500,0.0,2129.465,0,4706,452.5,0.157106124,523.5905211099999,2461.92263025922,4702,474,f.500 - 600,False
Anglet_P,444,500.64516129032256,6048,23 6SG,B01,False,2024-08-31,3027.901935483871,2023,491.6335483870968,982,False,0,0.0,2273,1137.9664516129033,2024-09-30,30,500.64516129032256,f.500 - 600,1398.301935483871,1629.6,2793,3255,500.6451612903227,0.157106124,579.2995820799999,1316.7479500678398,2273,474,f.500 - 600,False
Anglet_P,100,12.2704266143659,2536,24 5SG,9_Indef_Anglet_P_9_2024,True,2024-08-31,31.117801894031924,2024,0.0,0,False,0,0.0,2536,31.117801894031924,2024-09-30,30,12.2704266143659,a.0 - 100,0.0,31.117801894031924,0,2536,12.2704266143659,0.001,12.282697040980269,31.14891969592596,2536,130,a.0 - 100,True
