Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,5714.285714,18000,Optima,NA,bd.2900 - 3000,i.2500 - 3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,923.0769231,3000,Optima,NA,be.3000 - 3100,j.3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,3582.089552,12000,Optima,NA,bf.3100 - 3200,j.3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,4057.971014,14000,Optima,NA,bg.3200 - 3300,j.3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,4507.042254,16000,Optima,NA,bh.3300 - 3400,j.3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,9589.041096,35000,Optima,NA,bi.3400 - 3500,j.3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,9333.333333,35000,Optima,NA,bj.3500 - 8000,j.3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,480000,24000,Optima,NA,aa.0 - 100,a.0 - 300
11 - optima,Vilan_P,Optima,Optima,Optima,NA,153333.3333,23000,Optima,NA,ab.100 - 200,a.0 - 300
11 - optima,Vilan_P,Optima,Optima,Optima,NA,88000,22000,Optima,NA,ac.200 - 300,a.0 - 300
11 - optima,Vilan_P,Optima,Optima,Optima,NA,68571.42857,24000,Optima,NA,ad.300 - 400,b.300 - 400
11 - optima,Vilan_P,Optima,Optima,Optima,NA,60000,27000,Optima,NA,ae.400 - 500,c.400 - 600
11 - optima,Vilan_P,Optima,Optima,Optima,NA,56363.63636,31000,Optima,NA,af.500 - 600,c.400 - 600
11 - optima,Vilan_P,Optima,Optima,Optima,NA,55384.61538,36000,Optima,NA,ag.600 - 700,d.600 - 800
11 - optima,Vilan_P,Optima,Optima,Optima,NA,46666.66667,35000,Optima,NA,ah.700 - 800,d.600 - 800
11 - optima,Vilan_P,Optima,Optima,Optima,NA,41176.47059,35000,Optima,NA,ai.800 - 900,e.800 - 1000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,34736.84211,33000,Optima,NA,aj.900 - 1000,e.800 - 1000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,38095.2381,40000,Optima,NA,ak.1000 - 1100,f.1000 - 1500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,36521.73913,42000,Optima,NA,al.1100 - 1200,f.1000 - 1500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,36000,45000,Optima,NA,am.1200 - 1300,f.1000 - 1500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,37037.03704,50000,Optima,NA,an.1300 - 1400,f.1000 - 1500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,26206.89655,38000,Optima,NA,ao.1400 - 1500,f.1000 - 1500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,21935.48387,34000,Optima,NA,ap.1500 - 1600,g.1500 - 2000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,26060.60606,43000,Optima,NA,aq.1600 - 1700,g.1500 - 2000
