FARM,DATA,TYPE,YearClass,Gen,a_Aug-2024,b_Sep-2024,c_Oct-2024,d_Nov-2024,e_Dec-2024,f_Jan-2025,g_Feb-2025,h_Mar-2025,i_Apr-2025,j_May-2025,k_Jun-2025,l_Jul-2025,m_Aug-2025,n_Sep-2025,o_Oct-2025,p_Nov-2025,q_Dec-2025,r_Jan-2026
Consolidado,culling,avweight,2022,22 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2023,23 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 2,69.95823025941047,53.84215580505963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 3,0.0,53.46610197990439,60.16318407368601,62.13727750897211,67.17808262795958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2024,24 4,0.0,0.0,0.0,0.0,0.0,49.14214303015736,46.41583294277364,45.41072795182523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2025,25 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.00909551562121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,avweight,TOTAL,TOTAL,69.95823025941047,53.47406247577982,60.16318407368601,62.13727750897211,67.17808262795958,49.14214303015736,46.41583294277364,45.41072795182523,40.00909551562121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2022,22 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2022,22 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 2,203.92824120618155,5.3842155805059635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 3,0.0,247.2272555550779,199.68160794056388,293.1636752873304,249.96964545863764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 4,0.0,0.0,0.0,0.0,0.0,112.04408610875878,141.5682904754596,172.56076621693586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2025,25 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.02956042576895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,TOTAL,TOTAL,203.92824120618155,252.61147113558386,199.68160794056388,293.1636752873304,249.96964545863764,112.04408610875878,141.5682904754596,172.56076621693586,130.02956042576895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2022,22 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2022,22 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 2,2915.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 3,0.0,4624.0,3319.0,4718.0,3721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
