Granja,Edad,PesoMedio,Type
Cervo_P,496,1268.307692,Historical
Cervo_P,496,1320.230769,Historical
Cervo_P,349,312.7333333,Historical
Cervo_P,440,834.8958333,Historical
Cervo_P,559,1604.571429,Historical
Cervo_P,468,975.8095238,Historical
Cervo_P,503,1184.428571,Historical
Cervo_P,377,547.8,Historical
Cervo_P,412,699.4,Historical
Cervo_P,531,1455.857143,Historical
Cervo_P,377,525.9,Historical
Cervo_P,440,866.25,Historical
Cervo_P,439,968.3,Historical
Cervo_P,474,1168,Historical
Cervo_P,411,858.3333333,Historical
Cervo_P,530,1694.142857,Historical
Cervo_P,383,537.2,Historical
Cervo_P,383,322.8571429,Historical
Cervo_P,383,567.9,Historical
Cervo_P,383,312.2142857,Historical
Cervo_P,383,541.7,Historical
Cervo_P,383,334.5714286,Historical
Oye_P,503,630,Historical
Oye_P,600,996,Historical
Oye_P,475,556,Historical
Oye_P,566,968,Historical
Cervo_P,412,716.952381,Historical
Oye_P,468,811,Historical
Oye_P,468,328,Historical
Oye_P,376,332,Historical
Oye_P,405,407,Historical
Oye_P,342,420,Historical
Tocha_P,460,767.9111111,Historical
Tocha_P,495,963.6444444,Historical
Tocha_P,432,413.6,Historical
Tocha_P,586,1089.2,Historical
Tocha_P,615,1221.6,Historical
Cervo_P,307,276.5,Historical
Cervo_P,221,137.2,Historical
Cervo_P,279,236.1714286,Historical
Cervo_P,188,100,Historical
Cervo_P,307,293.65,Historical
Cervo_P,342,351.7,Historical
Cervo_P,690,2534.734694,Historical
Cervo_P,628,1870,Historical
Oye_P,552,929,Historical
Oye_P,671,1226,Historical
Oye_P,377,284,Historical
Oye_P,502,617,Historical
Oye_P,531,717,Historical
Oye_P,837,2590.08,Historical
Oye_P,837,2190.64,Historical
Oye_P,762,1917.100001,Historical
Cervo_P,727,2901.4,Historical
Cervo_P,881,3534.27451,Historical
Cervo_P,666,2958.6,Historical
Cervo_P,785,3897.45098,Historical
Cervo_P,405,589.6,Historical
Cervo_P,756,2452.705882,Historical
Cervo_P,812,2702.4,Historical
Cervo_P,931,3096.862745,Historical
Cervo_P,821,2828.235294,Historical
Cervo_P,587,1593.739496,Historical
Cervo_P,524,1257.333333,Historical
Cervo_P,559,1399.666667,Historical
Cervo_P,524,1252,Historical
Cervo_P,559,1463.333333,Historical
Cervo_P,524,1325.666667,Historical
Cervo_P,559,1513.697479,Historical
Cervo_P,524,1201.733333,Historical
Cervo_P,559,1399,Historical
Cervo_P,307,262.75,Historical
Cervo_P,433,597.3,Historical
Cervo_P,279,176.2380952,Historical
Cervo_P,398,431.6,Historical
Cervo_P,342,323.7619048,Historical
Cervo_P,612,2421.92,Historical
Cervo_P,670,2777,Historical
Cervo_P,789,3449.411765,Historical
Cervo_P,824,3386.078431,Historical
Cervo_P,687,1561.734694,Historical
Cervo_P,761,3150,Historical
Cervo_P,880,3650.416667,Historical
Cervo_P,676,2169.571429,Historical
Cervo_P,711,2450,Historical
Cervo_P,433,858.952381,Historical
Cervo_P,587,1826.479592,Historical
Cervo_P,572,1780.204082,Historical
Cervo_P,607,1280.8,Historical
Cervo_P,559,1352.666667,Historical
Cervo_P,678,1710.420168,Historical
Cervo_P,496,1118.680556,Historical
Cervo_P,489,1012.571429,Historical
Tocha_P,362,553.9018182,Historical
Tocha_P,264,124.9,Historical
Tocha_P,362,555.6181818,Historical
Tocha_P,327,181.8,Historical
Tocha_P,362,263.7,Historical
