Granja,FechaFin,Gen,Talla,Biomasa,Num
Hafnir_P,2024-11-30,24 1SG,e.400 - 500,2920.275344130484,5923.0
Hafnir_P,2024-11-30,24 1SG,e.400 - 500,2079.360630847267,4175.0
Cervo Sole,2024-11-30,24 1SG,d.300 - 400,2275.926903116583,6262.0
Tocha Sole,2024-11-30,24 1SG,e.400 - 500,424.6325097504484,1045.0
Cervo Sole,2024-11-30,24 1SG,g.600 - 800,383.8396165934702,513.0
Tocha Sole,2024-11-30,24 1SG,d.300 - 400,1492.261161920317,4774.0
Couso i+d,2024-11-30,24 1SG,f.500 - 600,434.3689931686044,728.0
Tocha Sole,2024-11-30,24 1SG,c.200 - 300,499.9910131326296,1690.0
Cervo Sole,2024-11-30,24 1SG,g.600 - 800,2267.6307477847527,3195.0
Cervo Sole,2024-11-30,24 1SG,h.800 - 10000,3865.1264675456673,4542.0
Couso i+d,2024-11-30,24 1SG,f.500 - 600,165.4657579482676,319.0
Cervo Sole,2024-11-30,24 1SG,g.600 - 800,4340.550479957146,6556.0
Anglet_P,2024-11-30,24 1SG,e.400 - 500,988.6410810709868,2340.0
Cervo Sole,2024-11-30,24 1SG,g.600 - 800,2007.4764843014807,2560.0
Couso i+d,2024-11-30,24 1SG,g.600 - 800,175.91936337078096,275.0
Couso i+d,2024-11-30,24 1SG,g.600 - 800,191.91203276812467,300.0
Couso i+d,2024-11-30,24 1SG,g.600 - 800,1128.3977623099167,1698.0
Cervo Sole,2024-11-30,24 1SG,h.800 - 10000,3923.078720676428,4854.0
Hafnir_P,2024-11-30,24 2SG,d.300 - 400,1499.672541938785,3845.0
Couso i+d,2024-11-30,24 1SG,g.600 - 800,603.1335444592889,891.0
Couso i+d,2024-11-30,24 1SG,g.600 - 800,0.6368011480471986,1.0
Cervo Sole,2024-11-30,24 1SG,f.500 - 600,3775.729939741086,7084.0
Cervo Sole,2024-11-30,24 1SG,e.400 - 500,2455.884918758548,5090.0
Cervo Sole,2024-11-30,24 1SG,e.400 - 500,3408.167133172184,8030.0
Cervo Sole,2024-11-30,24 1SG,f.500 - 600,4224.112515215382,7479.0
Cervo Sole,2024-11-30,24 1SG,d.300 - 400,224.0421218308093,580.0
Tocha Sole,2024-11-30,24 1SG,d.300 - 400,3685.730898238927,9223.0
Cervo Sole,2024-11-30,24 1SG,e.400 - 500,1135.6479865677586,2512.0
Tocha Sole,2024-11-30,24 1SG,f.500 - 600,3213.267506240801,5828.0
Tocha Sole,2024-11-30,24 1SG,e.400 - 500,3522.941005435507,8050.0
Tocha Sole,2024-11-30,24 2SG,d.300 - 400,3174.477106177437,8484.0
Couso i+d,2024-11-30,24 2SG,d.300 - 400,4.816681483150075,16.0
Tocha Sole,2024-11-30,24 2SG,d.300 - 400,147.5059410451059,464.0
Hafnir_P,2024-11-30,24 3SG,b.100 - 200,999.871399736727,6921.0
Anglet_P,2024-11-30,24 2SG,d.300 - 400,1390.048446210597,4585.0
Anglet_P,2024-11-30,24 2SG,d.300 - 400,1109.8245098130676,3664.0
Tocha Sole,2024-11-30,24 2SG,f.500 - 600,4461.490771642846,8702.0
Couso i+d,2024-11-30,24 2SG,c.200 - 300,4.829159932588287,18.0
Tocha Sole,2024-11-30,24 2SG,b.100 - 200,5.960556214288912,32.0
Cervo Sole,2024-11-30,24 2SG,c.200 - 300,499.9414832176528,1970.0
Couso i+d,2024-11-30,24 2SG,e.400 - 500,4.870979718207674,12.0
Tocha Sole,2024-11-30,24 2SG,e.400 - 500,3808.81579398757,9260.0
Hafnir_P,2024-11-30,24 3SG,b.100 - 200,0.1252343939721784,1.0
Hafnir_P,2024-11-30,24 3SG,d.300 - 400,0.3026511386713481,1.0
Couso i+d,2024-11-30,24 4SG,b.100 - 200,4.907020089859372,36.0
Tocha Sole,2024-11-30,24 1SG,e.400 - 500,966.4285478713356,1962.0
Tocha Sole,2024-11-30,24 1SG,h.800 - 10000,5168.238015599805,6259.0
Anglet_P,2024-12-31,23 6SG,g.600 - 800,5352.041166268664,7403.0
Anglet_P,2024-12-31,23 6SG,g.600 - 800,2502.843396139864,3883.0
Anglet_P,2024-12-31,23 6SG,g.600 - 800,644.9943683336677,972.0
Hafnir_P,2024-12-31,23 6SG,g.600 - 800,5736.145023332513,7382.0
Hafnir_P,2024-12-31,23 6SG,g.600 - 800,867.1980351112827,1314.0
Hafnir_P,2024-12-31,23 6SG,g.600 - 800,5161.697907002016,7478.0
Hafnir_P,2024-12-31,23 6SG,g.600 - 800,1734.9255927525255,2629.0
Couso i+d,2024-12-31,24 2SG,g.600 - 800,347.6078951217301,520.0
Tocha Sole,2024-12-31,23 6SG,h.800 - 10000,299.2746625553152,339.0
Couso i+d,2024-12-31,24 4SG,d.300 - 400,4.756588801115224,13.0
Hafnir_P,2024-12-31,24 1SG,e.400 - 500,2580.3416789214225,5347.0
Hafnir_P,2024-12-31,24 1SG,f.500 - 600,5148.991227882863,10025.0
Tocha Sole,2024-12-31,24 1SG,d.300 - 400,1179.1736718417787,3319.0
Anglet_P,2024-12-31,24 1SG,f.500 - 600,1775.0654941436524,3464.0
Couso i+d,2024-12-31,24 1SG,f.500 - 600,399.7100076482716,682.0
Anglet_P,2024-12-31,24 1SG,f.500 - 600,1426.8858711219978,2574.0
Anglet_P,2024-12-31,24 1SG,f.500 - 600,2140.8598352786344,4006.0
Anglet_P,2024-12-31,24 1SG,f.500 - 600,1967.6292249873,3591.0
Anglet_P,2024-12-31,24 1SG,f.500 - 600,189.3687203396201,369.0
Couso i+d,2024-12-31,24 1SG,g.600 - 800,866.736554351149,1364.0
Couso i+d,2024-12-31,24 1SG,g.600 - 800,985.5209775378856,1600.0
Cervo Sole,2024-12-31,24 3SG,c.200 - 300,499.9694172051856,1867.0
Couso i+d,2024-12-31,24 2SG,e.400 - 500,4.587585342858428,10.0
Cervo Sole,2024-12-31,24 1SG,h.800 - 10000,999.256476083392,1209.0
Cervo Sole,2024-12-31,24 1SG,g.600 - 800,4721.512863069564,6131.0
Hafnir_P,2024-12-31,24 1SG,f.500 - 600,2850.6885421206107,5127.0
Hafnir_P,2024-12-31,24 1SG,e.400 - 500,2419.57344657917,5302.0
Cervo Sole,2024-12-31,24 1SG,f.500 - 600,2025.1995860896045,3666.0
Cervo Sole,2024-12-31,24 1SG,e.400 - 500,2999.6356574844526,6355.0
Tocha Sole,2024-12-31,24 1SG,d.300 - 400,3009.0808263962795,8700.0
Tocha Sole,2024-12-31,24 1SG,g.600 - 800,4449.220961451606,7392.0
Cervo Sole,2024-12-31,24 1SG,g.600 - 800,5029.274690674491,6410.0
Cervo Sole,2024-12-31,24 1SG,g.600 - 800,4990.458817560052,7683.0
Cervo Sole,2024-12-31,24 1SG,f.500 - 600,4487.113558524602,7994.0
Tocha Sole,2024-12-31,24 1SG,g.600 - 800,450.2670258122397,602.0
Cervo Sole,2024-12-31,24 1SG,g.600 - 800,5136.599156565753,7670.0
Cervo Sole,2024-12-31,24 1SG,g.600 - 800,1121.966525045234,1517.0
Anglet_P,2024-12-31,24 2SG,d.300 - 400,2160.7334294473494,6557.0
Anglet_P,2024-12-31,24 2SG,d.300 - 400,339.15948026787464,945.0
Tocha Sole,2024-12-31,24 2SG,f.500 - 600,5131.621276704596,8743.0
Tocha Sole,2024-12-31,24 2SG,d.300 - 400,811.4884358225858,2075.0
Hafnir_P,2024-12-31,24 2SG,d.300 - 400,1388.3491156192988,4596.0
Cervo Sole,2024-12-31,24 2SG,d.300 - 400,1499.724393323669,4730.0
Tocha Sole,2024-12-31,24 2SG,c.200 - 300,499.85923831345934,2088.0
